110602,AA4CD,Carlsbad,California,United States,447.3,3,-5,Master,,AA4CD,,0,BrandMeister
110603,WB6PQM,Walnut Creek,California,United States,444.15,1,5,Peer,TS1 TS2,WB6PQM,,0,BM
110604,KF6GOI,THOUSAND OAKS,California,United States,445.56,1,-5,Master,,KF6GOI,,0,West Brandmeister
110605,KB6TWT,San Diego,California,United States,449.74,1,-5,Peer,TS1 TS2,WD6FZA,,0,BrandMeister
110607,KA7QQV,alameda,California,United States,443.5,1,5,Peer,,KA7QQV,,0,brandmeister
110608,KE6UPI,Murrieta,California,United States,442.4,1,5,Master,TS1 TS2,KE6UPI,,0,BrandMeister
110609,WX6D,San Luis Obisopo,California,United States,443.4375,1,5,Peer,,N6IB,,0,Brandmeister
110610,WB6PQM,Walnut Creek,California,United States,927.5,3,-25,Peer,,WB6PQM,,0,Brandmeister
110611,KC6KGE,Taft,California,United States,441.125,1,5,Peer,TS1 TS2,KC6KGE,,0,Brandmister
110612,WX6D,Hanford,California,United States,442.5375,1,5,Peer,,N6IB,,0,Brandmiester
110613,WB6PQM,Walnut Creek,California,United States,442.65,1,5,Peer,,WB6PQM,,0,Brandmeister
110614,AD1U,SAN JOSE,California,United States,443.3,1,5,Master,TS1 TS2,AD1U,,0,BM
110615,AD1U,SAN JOSE,California,United States,443.3,1,5,Peer,TS1 TS2,AD1U,,0,Philippines
110616,KM6AYR,Murrieta,California,United States,441.025,1,0,Peer,,KM6AYR,,0,BrandMeister
110617,WD6AML,Alpine,California,United States,447.9,1,-5,Peer,,WA6PYJ,,0,Mountain West
110618,KE6UPI,Murrieta,California,United States,447.4,2,-5,Peer,,KE6UPI,,0,BrandMeister
110619,W6HDC,El Cajon,California,United States,446.0625,1,-5,Master,,W6HDC,,0,Mountain West
110620,KF6YB,El Cajon,California,United States,449.9,1,-5,Master,TS1 TS2,KF6YB,,0,BM
110621,AD1U,SAN JOSE,California,United States,441.825,1,5,Peer,TS1 TS2,AD1U,,0,Philippines 515
110622,W6ELL,Yorba Linda,California,United States,446.26,1,-5,Peer,,W6ELL,,0,Brandmeister
110623,K6LNK,Davis,California,United States,927.2875,3,-25,Peer,TS1 TS2,N6JOA,,0,BM
110624,K6LNK,Davis,California,United States,144.95,3,2.5,Peer,TS1 TS2,N6JOA,,0,BM
110625,K6CLX,Calexico,California,United States,449.7,10,-5,Master,,KI6YAA,,0,Mixed Mode
110626,N6JLY,Glendale,California,United States,445.68,1,-5,None,,KE6ZRP,,0,None
110627,K6JWN,Dixon,California,United States,442.1875,2,5,Peer,,K6JWN,,0,Brandmeister
110628,K6PUW,Los Angeles,California,United States,447.2,1,-5,Peer,,WB5EKU,,0,BrandMeister
110629,K6TZ,Santa Barbara,California,United States,445.2,1,-5,Peer,TS1 TS2,W1UUQ,,0,BM
110630,WB6PQM,WALNUT CREEK,California,United States,927.5,3,-25,Peer,,WB6PQM,,0,Brandmeister
110631,WA6JQV,Vacaville,California,United States,927.3875,1,-25,None,,WA6JQV,,0,BM
110632,AB6BP,Mariposa,California,United States,442.7,1,5,Master,TS1 TS2,AB6BP,,0,BM
110633,WB6YES,Palm Springs,California,United States,447.26,5,-5,Master,TS1 TS2,W6ONT,,0,BM
110634,WB6YES,Palm Springs,California,United States,445.41,3,-5,Master,,W6ONT,,0,BrandMeister
110635,NR6J,Mount Shasta,California,United States,442.275,1,5,None,TS1 TS2,NR6J,,0,Dynamic
110636,W6SS,San Diegto,California,United States,448.16,1,-5,Peer,,W6SS,,0,San Diego
110637,WB6YES,PALM Springs,California,United States,445.41,3,-5,Peer,,W6ONT,,0,BrandMeister
110638,WB6YES,PALM Springs,California,United States,445.41,3,-5,Peer,,W6ONT,,0,BrandMeister
110639,K6JSI,Oceanside,California,United States,448.8,1,-5,Peer,,K6UFX,,0,brandmeister
110640,AE6TV,San Bernardino,California,United States,448.9,1,-5,Peer,TS1 TS2,AE6TV,,0,Brandmeister
110641,W6TRW,Redondo Beach,California,United States,449.4625,2,-5,Master,,N6DSP,,0,Western States DMR
110642,W6EDX,Fresno,California,United States,442.8,1,5,None,,W6EDX,,0,5152
110643,KC6IAU,SAN FRANCISCO,California,United States,441.575,1,5,Peer,TS1 TS2,KC6IAU,,0,BM
110644,N6VVY,San Diego,California,United States,449.36,3,-5,Master,TS1 TS2,N6VVY,,0,BM
110646,K6UD,TORRANCE,California,United States,448.26,1,-5,Master,TS1 TS2,KK6N,,0,DMR-MARC
110647,K6LLC,SAN JOSE,California,United States,440.225,1,5,Peer,TS1 TS2,K6RMY,,0,PINOY 5153
110648,WG6R,Fairfield,California,United States,443.4,1,5,Peer,TS1 TS2,WG6R,,0,BM
110649,WI6Y,Anaheim,California,United States,449.4625,3,-5,Peer,,WI6Y,,0,BM
110650,W2NOR,San Diego,California,United States,445.2,1,-5,Peer,TS1 TS2,AF6YU,,0,BM
110651,KG6NLW,Cloverdale,California,United States,440.1,1,5,Peer,TS1 TS2,KG6NLW,,0,BM
110652,KC2UFO,Merritt Island,Florida,United States,444.775,1,5,Peer,,AA4CD,,0,BrandMeister
110653,K6INC,LOS GATOS,California,United States,443.95,1,5,Peer,TS1 TS2,AD1U,,0,Brandmeister
110654,W6EI,Palo Alto,California,United States,441.6,1,5,Peer,,W6EI,,0,BrandMeister
110655,KC6IAU,San Jose,California,United States,147.105,1,0.6,Peer,TS1 TS2,KC6IAU,,0,BM
110656,K6LNK,Oakland,California,United States,927.175,5,-25,None,TS1 TS2,N6JOA,,0,BM
110657,KC6KGE,Taft,California,United States,441.575,1,5,Peer,,KC6KGE,,0,Brandmeister
110658,K6IRF,Claremont,California,United States,448.26,5,-5,Peer,TS1 TS2,K6IRF,,0,Brandmeister
110659,KQ6RC,Santa Clara,California,United States,444.875,2,5,Master,TS1 TS2,KQ6RC,,0,BM
110660,K6HN,Pacifica,California,United States,440.675,1,5,Master,,K6HN,,0,VIRN
110661,AI6BX,Redlands,California,United States,449.4625,3,-5,Peer,TS1 TS2,AI6BX,,0,BM
110662,KJ6WZS,Gilroy,California,United States,443.525,1,5,Master,TS1 TS2,K6ATV,,0,DMR-MARC
110666,K6LO,Angwin,California,United States,440.075,1,5,Peer,TS1 TS2,K6LO,,0,brandmeister
110667,K7FED,Tracy,California,United States,442.2,3,5,Peer,TS1 TS2,K7FED,,0,brandmiester
